iter	Logloss
0	0.6781324703
1	0.6616192185
2	0.6490421929
3	0.6371278488
4	0.6263889676
5	0.6176387733
6	0.6090203744
7	0.6012174672
8	0.5932094965
9	0.5859468865
10	0.5805053622
11	0.5756736234
12	0.5707402632
13	0.5670176173
14	0.5638770461
15	0.5591688885
16	0.5553324696
17	0.5514742989
18	0.5484802196
19	0.5439402048
20	0.5401719578
21	0.5386445551
22	0.5365153419
23	0.5345120657
24	0.5323700332
25	0.5302954796
26	0.527958343
27	0.5253551145
28	0.5226770054
29	0.5204774786
30	0.5180119355
31	0.5163069221
32	0.5140943366
33	0.5124044795
34	0.5105179055
35	0.5085974471
36	0.5072798766
37	0.5056158721
38	0.5042171278
39	0.502601515
40	0.5008204933
41	0.4996845085
42	0.4981380314
43	0.4973099032
44	0.4962341593
45	0.4949640293
46	0.4938150426
47	0.4924386989
48	0.4917503727
49	0.4903227396
50	0.4891104126
51	0.4879419042
52	0.4869476237
53	0.4861847067
54	0.4854071373
55	0.4846746714
56	0.4839344825
57	0.4825974595
58	0.4817142433
59	0.4809826656
60	0.4802126618
61	0.4795166882
62	0.4785578354
63	0.4778460378
64	0.476732611
65	0.4758887218
66	0.4749717851
67	0.4741475059
68	0.4737044647
69	0.4728247194
70	0.4718636367
71	0.4714118709
72	0.4705946469
73	0.4698517304
74	0.4692076447
75	0.4685126034
76	0.4679870215
77	0.4671290595
78	0.466451625
79	0.4657145668
80	0.4650898265
81	0.4643159171
82	0.4637398457
83	0.4632757394
84	0.4624973322
85	0.4616238864
86	0.4611823696
87	0.4605140565
88	0.4598949164
89	0.4593459827
90	0.4588689879
91	0.4582702892
92	0.4576895437
93	0.4571617634
94	0.4567219096
95	0.4558380446
96	0.4548899449
97	0.454160446
98	0.4532955799
99	0.4523886781
100	0.4518349128
101	0.4511479221
102	0.4505532487
103	0.4501531441
104	0.4495447065
105	0.4491203934
106	0.4485697715
107	0.4480815827
108	0.4475195715
109	0.4470272881
110	0.4463802921
111	0.4460376251
112	0.4455138134
113	0.4450081627
114	0.4446081336
115	0.4441197811
116	0.4438136819
117	0.4433355595
118	0.44264712
119	0.4421194026
120	0.441703329
121	0.4411173488
122	0.440710573
123	0.4402724265
124	0.4396949944
125	0.4389910395
126	0.4386094739
127	0.4379814957
128	0.4373891342
129	0.4370282872
130	0.436505918
131	0.4360783796
132	0.4357186224
133	0.435254661
134	0.4346902246
135	0.4343799678
136	0.4339751575
137	0.4336305881
138	0.4332819556
139	0.4327349811
140	0.4322672401
141	0.4318261202
142	0.4313689432
143	0.4309473891
144	0.4305519145
145	0.4301711426
146	0.4298508132
147	0.4295206253
148	0.4291472426
149	0.4286881569
150	0.4283868767
151	0.4280568526
152	0.4277097005
153	0.4273908892
154	0.4269832568
155	0.4265201269
156	0.42615579
157	0.4257079487
158	0.4253914997
159	0.4250128255
160	0.4246123492
161	0.4243247387
162	0.4239100573
163	0.4236419245
164	0.4232882525
165	0.4229444768
166	0.422605495
167	0.4223274343
168	0.4220703695
169	0.421559566
170	0.4211374639
171	0.4208800967
172	0.4205654431
173	0.4202709348
174	0.4200046729
175	0.4196166819
176	0.4192396833
177	0.4189936802
178	0.4186633663
179	0.418339736
180	0.4179752606
181	0.4175915847
182	0.4173196786
183	0.4169887788
184	0.4165227512
185	0.4159357756
186	0.4155515139
187	0.4152019239
188	0.4148679059
189	0.4146005164
190	0.4143567937
191	0.4140484331
192	0.4136916114
193	0.4133438734
194	0.4129980631
195	0.4126723288
196	0.4123886743
197	0.4121043458
198	0.4117310261
199	0.4114179851
200	0.4110397392
201	0.410744853
202	0.4103707521
203	0.4101947035
204	0.4099359505
205	0.4096361318
206	0.409418142
207	0.4090930188
208	0.4086987663
209	0.4083545559
210	0.4081346385
211	0.4077881352
212	0.4075008397
213	0.407166469
214	0.4068998039
215	0.4066503929
216	0.4062738164
217	0.4060702647
218	0.4057282214
219	0.4053480542
220	0.4051284518
221	0.4048686656
222	0.4046078338
223	0.4042222051
224	0.4039049372
225	0.403653315
226	0.4033778245
227	0.4030884628
228	0.4028674179
229	0.4026439035
230	0.4023912231
231	0.4021436136
232	0.4017859856
233	0.4015606885
234	0.4012545957
235	0.4010521339
236	0.4007701046
237	0.4005194589
238	0.4002254861
239	0.3999127033
240	0.3996490178
241	0.399461328
242	0.399265386
243	0.399033903
244	0.398734582
245	0.398354755
246	0.3981355116
247	0.3978977103
248	0.3976095203
249	0.3973535264
