iter	Passed	Remaining
0	5794	1442925
1	12587	1560842
2	18792	1547241
3	25555	1571689
4	31460	1541549
5	36474	1483309
6	41779	1450361
7	48334	1462125
8	52522	1406433
9	57466	1379199
10	62646	1361127
11	67898	1346652
12	73014	1331101
13	78064	1315941
14	83645	1310453
15	93689	1370202
16	98955	1356267
17	102298	1318514
18	106150	1290562
19	113949	1310421
20	118438	1291538
21	124620	1291521
22	130700	1289954
23	136881	1288964
24	142977	1286795
25	148683	1280961
26	155824	1286991
27	161817	1282984
28	169210	1289500
29	175634	1287982
30	178912	1263932
31	182105	1240594
32	189779	1247940
33	193923	1231982
34	196823	1209060
35	200869	1194059
36	207005	1191678
37	213615	1191748
38	220358	1192197
39	226613	1189722
40	232564	1185509
41	238202	1179668
42	245086	1179836
43	249910	1170037
44	256276	1167483
45	260503	1155278
46	263268	1137094
47	267606	1126176
48	273242	1120850
49	276850	1107401
50	283896	1107752
51	289270	1101452
52	296040	1100376
53	300196	1089601
54	304310	1078918
55	309833	1073351
56	319400	1081477
57	325476	1077439
58	330908	1071246
59	335280	1061720
60	341073	1056770
61	347381	1053349
62	352527	1046391
63	357522	1039051
64	361760	1029627
65	368273	1026702
66	373488	1020124
67	378612	1013343
68	382528	1003444
69	387278	995858
70	393151	991185
71	398258	984583
72	403152	977506
73	408999	972755
74	414461	967076
75	418775	958775
76	424299	953296
77	429841	947854
78	435350	942339
79	440088	935189
80	446098	930749
81	452530	927135
82	460883	927319
83	466604	922099
84	473035	918244
85	479186	913796
86	482609	904199
87	488411	899121
88	493934	893521
89	498417	886075
90	503130	879096
91	507408	871418
92	513801	867386
93	518115	859851
94	522884	853126
95	528745	848195
96	533656	841746
97	540701	838638
98	545929	832679
99	550286	825429
100	554920	818645
101	561384	814558
102	564729	805973
103	571375	802123
104	576227	795743
105	581155	789494
106	585474	782456
107	589444	775010
108	595490	770313
109	600476	764242
110	606010	758878
111	610243	751906
112	615154	745807
113	619457	739001
114	623600	732053
115	629693	727404
116	633050	719621
117	638365	714103
118	643673	708581
119	647964	701961
120	653865	697096
121	658669	691063
122	664608	686221
123	669867	680671
124	672609	672609
125	678900	668124
126	683577	662047
127	690121	657771
128	695470	652340
129	700065	646214
130	703998	639509
131	709384	634146
132	715664	629569
133	720209	623464
134	724118	616841
135	728485	610642
136	732216	603945
137	737645	598668
138	742140	592644
139	748127	587814
140	754000	582879
141	758217	576672
142	763363	571187
143	768185	565469
144	773294	559971
145	777894	554116
146	782383	548200
147	788218	543231
148	792026	536876
149	797720	531813
150	801532	525508
151	807129	520385
152	812154	514895
153	817943	509886
154	822723	504249
155	828395	499161
156	834887	494551
157	840607	489467
158	846252	484333
159	851520	478980
160	857974	474284
161	864463	469584
162	870511	464629
163	876280	459512
164	884822	455817
165	891944	451345
166	896134	445384
167	900543	439551
168	904807	433665
169	910555	428496
170	915535	422966
171	919726	417085
172	924326	411405
173	927660	405185
174	933039	399874
175	937959	394369
176	943236	389018
177	948338	383597
178	953523	378213
179	957896	372515
180	963231	367198
181	969354	362176
182	975134	357016
183	980375	351656
184	985060	346102
185	992510	341508
186	997410	336025
187	1002787	330706
188	1007121	325049
189	1012502	319737
190	1017815	314403
191	1021542	308590
192	1027243	303382
193	1030928	297587
194	1035509	292066
195	1040785	286746
196	1043262	280674
197	1048471	275356
198	1053714	270047
199	1059000	264750
200	1066062	259885
201	1070744	254434
202	1075873	249093
203	1079951	243518
204	1084569	238076
205	1090165	232850
206	1094362	227331
207	1099244	221962
208	1103014	216380
209	1108395	211122
210	1113406	205795
211	1118135	200420
212	1122240	194943
213	1127871	189735
214	1131995	184278
215	1138120	179148
216	1144822	174097
217	1149057	168668
218	1154966	163488
219	1163519	158661
220	1168286	153304
221	1173087	147957
222	1177965	142623
223	1184605	137498
224	1188495	132055
225	1193009	126691
226	1197872	121370
227	1203599	116136
228	1208125	110788
229	1212228	105411
230	1217250	100120
231	1221784	94793
232	1226000	89450
233	1231231	84186
234	1236141	78902
235	1240999	73618
236	1244521	68264
237	1249932	63021
238	1255657	57791
239	1262009	52583
240	1267553	47336
241	1270620	42003
242	1275798	36751
243	1280622	31490
244	1286700	26259
245	1292192	21011
246	1295676	15736
247	1299936	10483
248	1304848	5240
249	1312055	0
